Modem name: +QCFG: "msc",(0-2)
Modem model: +QCFG: "sgsn",(0-2)
command,Expected result,Got result,Test passed/failed
ATI,OK,OK,Passed
AT+GMI,OK,OK,Passed
AT+GMM,OK,OK,Passed
AT+GMR,OK,OK,Passed
AT+CGMI,OK,OK,Passed
AT+CGMM,OK,OK,Passed
AT+CGMR,OK,OK,Passed
AT+GSN,OK,OK,Passed
AT+CGSN,OK,OK,Passed
AT&F,OK,OK,Passed
AT&V,OK,OK,Passed
AT&W,OK,OK,Passed
ATZ,OK,OK,Passed
ATQ,OK,OK,Passed
ATV1,OK,OK,Passed
ATE0,OK,OK,Passed
A/,OK,OK,Passed
ATS3?,OK,ERROR,Failed
ATS4?,OK,ERROR,Failed
ATS5?,OK,ERROR,Failed
ATX,OK,OK,Passed
AT+CFUN=?,OK,OK,Passed
AT+CPIN=?,OK,OK,Passed
AT+CMEE=?,OK,OK,Passed
AT+CSCS=?,OK,OK,Passed
AT+QURCCFG=?,OK,OK,Passed
AT&C,OK,OK,Passed
AT&D,OK,OK,Passed
AT+IFC=?,OK,OK,Passed
AT+ICF=?,OK,OK,Passed
AT+IPR=?,OK,OK,Passed
AT+CPAS=?,OK,OK,Passed
AT+CEER=?,OK,OK,Passed
AT+QCFG=?,OK,OK,Passed
AT+CIMI=?,OK,OK,Passed
AT+CLCK=?,OK,OK,Passed
AT+CPWD=?,OK,OK,Passed
AT+CSIM=?,OK,OK,Passed
AT+CRSM=?,OK,OK,Passed
AT+QCCID=?,OK,OK,Passed
AT+QPINC=?,OK,OK,Passed
AT+QSIMDET=?,OK,OK,Passed
AT+QSIMSTAT=?,OK,OK,Passed
AT+CREG=?,OK,OK,Passed
AT+CSQ=?,OK,OK,Passed
AT+CPOL=?,OK,+CME ERROR: 13,Failed
AT+COPN=?,OK,OK,Passed
AT+CTZU=?,OK,OK,Passed
AT+CTZR=?,OK,OK,Passed
AT+QNWINFO=?,OK,OK,Passed
ATA,OK,ERROR,Failed
AT+CVHU=?,OK,OK,Passed
AT+CHUP=?,OK,OK,Passed
ATS0?,OK,OK,Passed
ATS6?,OK,ERROR,Failed
ATS7?,OK,ERROR,Failed
ATS8?,OK,ERROR,Failed
ATS10?,OK,ERROR,Failed
AT+CBST=?,OK,OK,Passed
AT+CSTA=?,OK,OK,Passed
AT+CLCC=?,OK,OK,Passed
AT+CR=?,OK,OK,Passed
AT+CRC=?,OK,OK,Passed
